Global_active_power,Date,Time
2.58,2007-01-01,00:00:00
2.492,2007-01-01,00:10:00
2.544,2007-01-01,00:20:00
2.648,2007-01-01,00:30:00
2.602,2007-01-01,00:40:00
2.486,2007-01-01,00:50:00
2.466,2007-01-01,01:00:00
2.56,2007-01-01,01:10:00
2.564,2007-01-01,01:20:00
2.448,2007-01-01,01:30:00
2.548,2007-01-01,01:40:00
2.552,2007-01-01,01:50:00
2.504,2007-01-01,02:00:00
2.508,2007-01-01,02:10:00
2.624,2007-01-01,02:20:00
2.514,2007-01-01,02:30:00
2.57,2007-01-01,02:40:00
2.586,2007-01-01,02:50:00
2.648,2007-01-01,03:00:00
2.568,2007-01-01,03:10:00
2.7,2007-01-01,03:20:00
2.522,2007-01-01,03:30:00
2.546,2007-01-01,03:40:00
2.458,2007-01-01,03:50:00
2.4,2007-01-01,04:00:00
2.518,2007-01-01,04:10:00
2.484,2007-01-01,04:20:00
2.412,2007-01-01,04:30:00
2.436,2007-01-01,04:40:00
2.55,2007-01-01,04:50:00
2.436,2007-01-01,05:00:00
2.508,2007-01-01,05:10:00
2.496,2007-01-01,05:20:00
2.644,2007-01-01,05:30:00
2.39,2007-01-01,05:40:00
2.422,2007-01-01,05:50:00
2.46,2007-01-01,06:00:00
2.544,2007-01-01,06:10:00
2.404,2007-01-01,06:20:00
2.402,2007-01-01,06:30:00
2.484,2007-01-01,06:40:00
2.54,2007-01-01,06:50:00
2.396,2007-01-01,07:00:00
2.366,2007-01-01,07:10:00
2.458,2007-01-01,07:20:00
2.422,2007-01-01,07:30:00
2.45,2007-01-01,07:40:00
2.446,2007-01-01,07:50:00
2.532,2007-01-01,08:00:00
2.454,2007-01-01,08:10:00
2.362,2007-01-01,08:20:00
2.49,2007-01-01,08:30:00
2.466,2007-01-01,08:40:00
2.474,2007-01-01,08:50:00
2.384,2007-01-01,09:00:00
2.45,2007-01-01,09:10:00
3.502,2007-01-01,09:20:00
3.506,2007-01-01,09:30:00
3.442,2007-01-01,09:40:00
3.558,2007-01-01,09:50:00
3.48,2007-01-01,10:00:00
2.51,2007-01-01,10:10:00
2.28,2007-01-01,10:20:00
2.616,2007-01-01,10:30:00
2.546,2007-01-01,10:40:00
2.6,2007-01-01,10:50:00
2.51,2007-01-01,11:00:00
